Open,High,Low,Close,Volume
96.75,97.65,96.73,96.98,23794945
97.17,97.7,97.12,97.42,24167463
97.41,97.67,96.84,96.87,25892171
97.39,98.99,97.32,98.79,38918997
98.92,99.3,98.5,98.78,30136990
98.7,100.13,98.6,99.83,36493867
99.56,100,99.34,99.87,23779924
100,100.46,99.74,99.96,26275968
99.83,101,99.13,99.43,32702028
99.26,99.3,98.31,98.66,28313669
98.25,98.84,96.92,97.34,40382921
96.82,97.97,96.42,96.67,56239822
104.26,104.35,102.75,102.95,92344820
102.83,104.45,102.82,104.34,39869839
104.19,104.55,103.68,104.21,27733688
104.41,106.15,104.41,106.05,38167871
106.05,106.07,104,104.48,33816556
104.81,105.84,104.77,105.79,30202641
105.58,106,105.28,105.87,27408650
106.27,107.65,106.18,107.48,40553402
107.52,108.37,107.16,108.37,28037220
108.23,108.94,108.01,108.81,26315204
108.71,108.9,107.76,108,24008505
108.52,108.93,107.85,107.93,27484506
107.78,108.44,107.78,108.18,18660434
108.14,109.54,108.08,109.48,25868209
109.63,110.23,109.21,109.38,33794448
109.1,109.37,108.34,109.22,25355976
109.23,109.6,109.02,109.08,21984703
108.77,109.69,108.36,109.36,25368072
108.86,109.1,107.85,108.51,25820230
